num_trajs,fold,train_ll,test_ll
24.0,0.0,-0.2933293190309893,-0.7959897336016206
24.0,1.0,-0.3068589740111304,-0.6980132792861717
24.0,2.0,-0.3237573090715508,-0.3196259918730186
24.0,3.0,-0.3360000012777456,-0.2518252597471765
24.0,4.0,-0.30992950749653503,-0.3799393271666885
124.0,0.0,-0.3591877177425854,-0.3172817524198189
124.0,1.0,-0.3561071782995083,-0.33390754914500936
124.0,2.0,-0.3591461758418119,-0.3208393775680565
124.0,3.0,-0.32997165247529814,-0.54654195843253
124.0,4.0,-0.3448041545268785,-0.41569498963940266
224.0,0.0,-0.33394072938378117,-0.5428814948142219
224.0,1.0,-0.34472739853489337,-0.3867038886282732
224.0,2.0,-0.35389277589283535,-0.32686623751994726
224.0,3.0,-0.346498139690921,-0.38494809544818276
224.0,4.0,-0.36003330741002204,-0.317788904027503
324.0,0.0,-0.3224333663517783,-0.4346265263605513
324.0,1.0,-0.33119631002266287,-0.348303228101295
324.0,2.0,-0.33386051250257837,-0.3738423625527352
324.0,3.0,-0.34023871054293414,-0.306878574043973
324.0,4.0,-0.3394157383780071,-0.31222477308616586
424.0,0.0,-0.3381706652730602,-0.3369777867750519
424.0,1.0,-0.344140584883628,-0.30007805882131516
424.0,2.0,-0.3251038832886916,-0.42864196708933977
424.0,3.0,-0.33671035587397147,-0.346189491465658
424.0,4.0,-0.3394959621156326,-0.32897240412016615
524.0,0.0,-0.3430850688243259,-0.3437730029239263
524.0,1.0,-0.3358552719146839,-0.3950147615616009
524.0,2.0,-0.34743804624198615,-0.3288063838457679
524.0,3.0,-0.3438904635184674,-0.351143139710706
524.0,4.0,-0.3462223468922316,-0.3268187528274885
624.0,0.0,-0.3494723783906679,-0.33971665513795873
624.0,1.0,-0.34245934417079277,-0.4034494719169086
624.0,2.0,-0.3425589995471452,-0.37267062749287594
624.0,3.0,-0.3451207594466911,-0.35644874182854996
624.0,4.0,-0.3489263854562614,-0.33292241002013084
724.0,0.0,-0.34448707411534985,-0.4154524252328805
724.0,1.0,-0.34873872944813883,-0.38458861345891066
724.0,2.0,-0.3614817817383749,-0.32257043967542753
724.0,3.0,-0.36242925165060347,-0.31135950124705214
724.0,4.0,-0.35428232184951425,-0.3585268655892267
824.0,0.0,-0.35257879241987844,-0.36971110505444094
824.0,1.0,-0.35386105405632146,-0.3704235360282771
824.0,2.0,-0.35220326486280484,-0.3586527667359063
824.0,3.0,-0.35974084755646013,-0.33547077578196005
824.0,4.0,-0.3550829581508465,-0.35426417840826757
924.0,0.0,-0.36120950532380386,-0.3390680432222927
924.0,1.0,-0.35499278096936515,-0.37237392298937055
924.0,2.0,-0.35425255244723114,-0.374471001847768
924.0,3.0,-0.35737437534884814,-0.35416682973164054
924.0,4.0,-0.35695212014477434,-0.35986930725689736
1024.0,0.0,-0.36285946174791117,-0.3246326594905533
1024.0,1.0,-0.34894995242843824,-0.3910743841444072
1024.0,2.0,-0.352485173187996,-0.3822263534479431
1024.0,3.0,-0.35819942490869544,-0.3385447898535289
1024.0,4.0,-0.35604192663408285,-0.35931689032660624
